Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent
170.9,2.5,1.3,8.0,29.8,37.1,3.6,30.2,3.2
536.1,24.0,3.8,0.0,1558.6,64.2,17.3,32.1,29.3
103.6,0.4,0.1,0.0,959.3,25.1,4.8,17.7,4.3
228.0,7.1,1.7,24.5,281.8,37.5,0.5,24.7,4.2
62.2,0.1,0.0,1.3,36.6,12.8,0.0,11.8,2.7
415.9,36.9,5.4,0.0,310.6,24.9,17.3,2.8,5.5
395.9,19.1,9.8,101.5,269.8,52.2,0.7,39.9,5.0
280.1,6.0,1.5,66.9,591.5,22.4,6.1,9.2,29.8
221.5,6.5,2.5,11.8,367.8,32.5,2.5,1.8,8.1
122.1,4.9,3.0,15.9,194.7,14.4,0.5,10.9,5.7
329.7,16.7,3.4,77.5,446.8,35.6,2.0,1.9,9.3
40.9,0.6,0.1,0.0,23.9,8.1,3.0,2.0,2.9
373.8,19.9,11.8,126.3,243.8,43.9,0.8,22.2,5.5
543.5,29.2,11.3,71.9,1795.1,44.8,1.5,12.6,25.5
511.9,29.5,9.6,124.9,1357.2,15.8,0.6,0.9,40.6
277.3,13.9,8.2,83.0,377.8,33.4,1.5,7.6,5.3
58.4,2.4,0.7,4.6,41.6,8.7,0.2,4.5,0.7
357.2,15.1,8.0,74.0,692.7,51.3,1.9,34.7,4.0
208.7,6.5,4.2,26.4,185.3,31.2,0.9,10.9,8.3
236.8,0.2,0.0,0.0,14.2,41.6,0.2,38.1,0.6
488.6,38.6,10.0,24.8,483.5,23.7,2.9,7.2,13.4
113.7,1.6,0.8,7.2,80.0,20.3,1.1,9.2,6.2
360.1,10.7,4.9,93.2,1251.6,38.0,4.6,23.5,31.1
81.8,6.2,3.7,15.3,195.8,5.5,0.8,1.5,2.0
199.4,10.4,6.8,22.3,143.4,25.0,1.5,10.9,2.2
267.0,6.2,0.7,17.6,150.0,51.4,2.6,32.2,3.6
368.7,13.0,2.9,31.1,1459.3,32.1,3.0,10.5,31.6
167.7,10.2,2.4,46.4,46.1,3.6,0.1,2.2,15.3
316.9,15.9,7.3,40.8,100.3,44.9,2.5,35.5,2.3
264.6,11.2,6.5,51.6,139.4,38.8,2.2,17.8,5.0
230.5,8.4,5.0,42.1,102.2,36.1,1.2,25.3,5.5
308.3,19.3,11.9,29.9,43.5,20.3,3.1,11.5,5.0
305.4,12.6,7.3,113.7,263.7,46.1,1.6,33.5,5.8
298.7,11.9,3.6,52.9,137.7,46.8,1.6,32.6,4.1
456.1,23.4,11.4,101.3,425.1,56.4,2.4,34.8,7.8
355.9,9.8,1.5,36.3,645.2,46.2,6.5,4.7,20.3
180.7,15.2,8.1,55.5,397.3,3.0,0.0,1.8,8.2
616.9,5.0,1.0,151.2,780.5,96.3,4.0,12.4,43.9
154.5,9.1,4.9,21.5,257.0,16.1,1.4,0.7,2.7
163.2,8.4,4.4,26.3,264.6,18.0,1.0,0.6,4.0
848.0,59.1,9.1,186.0,95.7,68.3,8.8,4.7,14.2
462.0,34.3,5.6,264.4,322.1,25.8,1.0,1.2,12.5
68.4,7.3,4.6,27.2,7.5,0.6,0.0,0.0,0.4
311.2,3.7,1.0,73.1,415.4,40.9,8.6,26.9,32.7
261.0,8.8,2.8,57.4,769.5,20.7,2.8,2.7,24.4
284.4,15.3,3.8,56.6,61.3,20.4,2.5,2.6,15.9
304.8,20.8,10.5,44.1,292.5,27.2,4.1,2.2,7.4
73.0,4.5,2.8,11.6,32.3,7.7,0.2,2.5,0.7
140.6,6.1,1.9,6.3,319.9,8.7,1.1,0.8,12.7
184.2,9.9,1.5,7.6,215.4,22.8,2.0,2.6,2.2
232.5,3.4,0.7,75.5,140.4,23.4,1.9,8.0,27.2
106.0,5.1,0.8,0.0,477.9,9.1,2.3,5.2,7.2
111.5,7.5,3.4,13.6,46.4,10.4,0.6,4.6,1.3
109.4,1.8,0.5,46.5,406.6,19.6,1.8,2.1,4.2
323.0,19.6,6.9,70.3,178.9,35.0,1.9,17.3,3.8
291.7,13.4,5.2,60.5,201.0,38.6,2.1,20.3,5.1
204.0,13.1,8.1,44.4,33.5,20.4,1.4,16.4,2.5
91.0,1.1,0.7,4.3,164.6,19.6,0.0,18.2,1.0
96.9,4.9,2.9,17.4,48.2,12.8,0.9,6.3,1.8
79.4,4.5,2.8,17.1,66.0,5.7,0.0,0.0,4.2
240.4,19.5,12.1,69.3,49.3,15.6,0.5,13.3,2.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6,0.3,0.2,0.0,29.0,0.0,0.0,0.0,0.2
284.9,17.6,10.9,67.5,109.8,25.9,0.6,18.6,5.9
367.1,22.6,12.3,119.7,287.6,27.2,5.7,6.5,13.5
151.3,6.3,3.9,24.1,85.8,17.8,0.0,8.3,6.1
234.0,18.5,5.7,15.3,25.2,18.7,2.3,15.0,1.7
106.1,1.0,0.1,0.0,17.9,24.1,3.7,4.7,3.8
237.2,19.7,5.7,24.2,238.8,5.9,1.2,3.1,10.1
155.8,3.2,0.6,0.0,70.7,32.9,2.0,26.2,1.0
148.4,4.6,1.1,7.8,82.9,25.9,0.5,17.4,1.4
103.5,5.7,2.4,18.5,27.5,12.5,0.1,9.4,0.8
139.6,2.7,0.9,93.0,452.4,23.3,5.3,6.7,8.1
176.3,4.7,0.7,0.0,11.8,31.2,4.1,1.6,3.7
376.4,3.4,0.6,0.0,313.3,72.0,12.5,4.3,14.3
100.1,4.5,2.5,52.7,74.6,11.0,0.3,0.1,3.6
54.3,2.2,2.0,0.0,12.4,8.0,0.1,6.8,0.7
561.8,14.1,2.6,146.3,2255.8,37.2,0.3,32.3,69.0
158.4,0.8,0.3,1.5,267.5,32.5,2.5,3.6,5.7
506.2,18.9,6.5,80.4,1709.4,52.8,11.2,14.9,31.6
34.5,0.3,0.1,0.3,113.2,7.2,1.4,4.4,1.9
311.1,19.9,11.1,46.4,206.9,30.1,4.3,1.3,6.8
32.8,0.1,0.0,0.0,5.4,9.0,0.8,7.0,0.3
550.2,24.5,4.5,93.0,442.4,78.7,0.9,39.0,5.6
174.4,6.5,1.3,52.8,231.6,5.5,0.5,4.2,23.1
48.4,0.0,0.0,0.0,10.5,12.5,0.1,9.5,0.1
25.4,0.0,0.0,0.4,12.3,5.4,0.0,4.9,0.9
226.8,5.7,0.8,0.0,247.7,41.3,4.0,1.9,3.9
314.2,10.7,4.7,24.8,493.9,50.1,4.5,7.2,10.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.1,2.5,0.3,0.0,30.1,3.1,0.7,1.5,1.5
267.1,15.2,4.2,65.4,311.1,28.0,2.6,3.4,6.0
429.3,32.3,4.5,52.3,590.4,9.4,0.1,8.4,24.4
68.0,2.8,0.4,0.0,44.1,9.6,3.5,4.0,3.2
335.8,20.6,9.7,45.8,775.8,24.2,2.7,5.6,14.3
299.8,6.9,1.1,128.5,294.9,3.6,0.0,1.0,52.8
485.4,54.0,7.5,0.0,875.8,0.6,0.0,0.0,0.1
380.9,8.1,3.5,104.9,840.7,65.5,3.5,3.6,13.2
134.3,8.0,4.9,20.3,277.5,14.3,1.7,5.0,2.6
234.8,14.5,6.7,31.8,132.7,25.0,1.9,18.9,3.7
439.1,24.3,8.3,140.8,439.3,41.3,4.5,2.4,14.0
690.8,27.9,9.8,120.0,352.6,70.3,11.4,11.1,38.1
208.3,9.2,5.5,45.7,367.1,26.8,1.0,1.7,4.7
28.3,0.2,0.0,0.0,16.0,6.3,1.4,4.9,1.5
101.9,2.6,1.5,9.1,1006.7,16.1,1.3,3.9,4.0
930.0,40.3,10.5,299.0,1094.5,41.8,2.8,4.2,84.9
145.8,6.5,4.0,15.2,1086.0,18.4,2.9,6.1,4.6
387.0,30.1,4.4,75.5,138.7,3.9,0.2,0.6,25.4
186.6,13.6,7.4,69.0,150.6,13.6,0.1,10.9,3.1
88.4,4.6,1.4,124.0,1569.9,1.6,0.1,0.9,9.2
157.1,10.7,1.5,0.0,890.0,15.2,5.4,6.7,3.4
151.4,2.9,0.4,0.0,147.3,27.4,4.3,0.9,5.9
145.0,6.8,3.9,16.2,170.3,16.8,2.9,2.8,5.7
55.8,2.4,0.4,0.0,4.0,8.6,1.2,4.7,1.5
423.6,25.5,10.1,130.7,803.5,36.1,6.3,9.1,14.3
21.5,1.8,1.1,6.8,1.9,1.3,0.0,1.1,0.1
239.7,8.3,3.3,234.5,116.8,27.1,0.8,0.3,12.9
152.4,3.3,0.7,75.5,429.8,3.8,0.6,0.1,25.6
261.1,11.6,5.1,98.7,631.0,16.1,3.4,10.5,24.5
301.7,6.0,1.0,78.1,1002.9,34.6,4.1,10.5,28.6
130.9,5.4,3.0,13.5,431.7,15.8,4.1,5.9,7.0
132.4,2.2,0.3,62.3,379.8,0.7,0.1,0.1,26.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235.5,9.9,6.8,27.2,115.2,30.4,0.9,28.7,8.2
160.7,8.4,2.6,2.5,517.9,18.5,0.6,1.4,2.8
225.8,2.9,0.5,0.0,794.2,38.5,7.4,10.1,10.3
398.9,6.1,2.8,104.4,391.8,71.0,2.1,8.6,13.7
273.4,15.9,4.7,80.9,95.8,11.7,0.2,7.5,16.7
218.3,13.7,2.2,62.4,405.2,22.1,1.6,4.4,3.3
495.5,12.0,7.4,30.5,112.5,89.3,11.2,4.0,10.5
241.9,11.7,3.9,78.3,467.6,27.0,2.5,3.6,7.5
263.2,15.7,5.2,22.2,370.3,23.4,1.4,2.5,7.5
126.2,3.6,0.8,3.6,346.4,18.7,1.1,3.0,4.9
111.4,9.2,4.9,23.7,172.5,3.2,0.6,0.9,4.3
87.2,5.2,3.1,35.5,73.1,8.4,0.0,5.6,1.8
165.1,3.9,0.6,0.3,454.7,27.1,1.4,2.2,4.0
270.6,8.9,5.1,46.2,221.4,43.1,3.9,10.2,5.8
224.2,0.8,0.2,0.0,171.1,42.1,10.7,5.9,14.5
33.8,1.2,0.4,0.2,49.2,5.2,0.2,1.0,0.6
369.7,16.2,7.3,107.8,911.0,24.9,1.9,2.9,28.7
189.9,0.7,0.1,0.0,417.0,36.4,9.9,9.0,8.1
35.3,1.4,0.2,0.0,442.0,5.7,1.5,3.0,1.1
350.6,1.5,0.2,0.0,567.9,68.1,13.2,16.0,17.4
192.8,4.3,1.7,60.6,390.0,20.6,1.7,3.0,17.4
263.6,23.8,2.0,0.0,4.4,13.5,3.6,9.7,3.3
293.7,11.1,6.8,38.9,182.0,48.5,0.9,38.9,2.4
150.2,11.3,6.5,34.1,291.6,5.5,2.8,1.4,7.7
268.2,15.0,5.4,95.9,595.7,1.5,0.1,0.1,30.4
300.1,16.5,5.1,46.5,592.4,7.1,3.5,1.8,28.3
157.6,9.5,5.3,10.5,92.3,17.4,1.0,14.1,2.2
150.2,6.2,1.2,16.6,228.0,21.2,0.9,9.6,2.7
503.9,14.9,6.6,26.4,429.6,77.9,16.5,11.7,18.1
318.2,13.1,7.8,77.0,434.9,46.6,1.5,22.3,4.8
62.3,4.7,1.6,22.7,124.5,4.1,0.1,0.1,1.1
391.8,20.3,5.9,31.0,396.9,51.1,1.4,33.6,4.0
99.2,8.7,3.1,10.2,57.5,5.2,0.7,3.1,0.5
100.6,0.3,0.0,0.0,16.2,25.9,1.5,22.8,0.6
90.4,6.3,1.4,0.0,373.6,7.7,2.3,5.6,2.6
